NSPID,NUMACC,LUMACC,AVEACC,NUMRT,LUMRT,AVERT,NUMIE,LUMIE,rITG,lITG,rMOG,lMOG,raIPS,laIPS,rpIPS,lpIPS,rPM,lPM,rinsula,linsula,rIFG,lIFG,ACC,group1,RES_1,group2,RES_2,RES_3
S0127,0.912280702,0.949152542,0.931034483,0.978832712,0.929851445,0.953435018,1.072951242,0.979664916,0,2.157387257,0,0,0,1.959945679,0,0,0,0,0,0,0,0,0,0, ,1,0.021622581,0.022381763
S0128,0.811320755,0.826923077,0.819047619,0.683916194,0.627878376,0.655897285,0.842966471,0.75929478,2.105926752,2.401498079,1.855917454,2.187235355,2.445809841,2.115766048,2.566281557,2.339491844,2.025993824,0,0,0,2.482324839,0,2.099219799,1,-0.010748824,0, ,-0.007790915
S0129,0.881355932,1,0.941176471,0.890227367,0.868696999,0.878693241,1.010065667,0.868696999,2.568392515,2.303383112,0,2.214862108,2.445367575,2.306153774,2.333139896,2.098708153,0,1.771165371,2.63226819,2.274994135,2.771857977,2.424747229,2.537927866,1,-0.03540746,0, ,-0.037990511
S0131,0.9,1,0.948275862,0.919072884,0.834076114,0.875801801,1.021192093,0.834076114,2.335044622,2.030761957,1.829489112,2.232530117,0,2.006854296,2.127408504,2.104458809,0,1.736871719,0,1.792248726,1.808732748,0,1.9066993,0, ,1,-0.021846219,-0.019346443
S0132,0.881355932,0.915254237,0.898305085,0.790359492,0.777575914,0.783847103,0.896754039,0.849573684,2.393855333,2.058414459,2.198493719,1.892689943,2.183771372,2.216482401,2.126430511,2.007436991,1.904223442,0,2.16418314,1.991159558,2.186592817,1.87864697,2.128179312,0, ,1,0.011489876,0.011088663
S0133,0.881355932,0.931034483,0.905982906,0.868817955,0.76668547,0.816788198,0.985774218,0.823476986,2.650379419,1.904820681,2.186439276,1.714865804,2.30189395,2.134506464,2.796648502,2.103453159,2.06726265,2.153551579,1.861720324,0,1.973187208,0,1.986828327,1,0.00232494,0, ,0.001949782
S0134,0.915254237,1,0.957627119,1.035203128,0.934253212,0.982494765,1.13105527,0.934253212,2.341446161,2.145791531,2.285883904,2.156820297,2.446672201,2.351616859,2.614406109,2.165851831,0,0,1.999568582,1.834484458,2.171934128,1.878704906,2.03324914,0, ,1,-0.006591982,-0.004092206
S0135,0.796610169,1,0.896551724,1.027797253,0.841008308,0.925422543,1.290213574,0.841008308,2.042282343,1.961181402,0,1.819503665,0,2.011800051,2.048823833,2.150720835,0,0,0,0,0,0,1.901409864,0, ,1,-0.12523605,-0.122736274
S0136,0.942307692,0.982758621,0.963636364,0.916634482,0.911018204,0.913614408,0.972754961,0.927000979,2.221688032,2.269718409,1.905909538,2.559933901,2.321552992,2.398631096,2.673724651,2.469992161,1.90234375,2.090833187,2.532792807,2.464003086,2.232130766,2.814757824,2.426640272,1,0.0349774,0, ,0.032946322
S0138,0.915254237,0.965517241,0.94017094,0.81812304,0.747597691,0.782219226,0.893875174,0.774297609,2.060994148,2.301436424,2.272434711,2.025360584,2.760520458,2.391621113,2.657758474,2.450970411,2.20157814,2.254548788,2.127279758,1.788760304,2.867490292,2.205514669,2.08596015,1,0.017357046,0, ,0.015877941
S0139,0.909090909,1,0.956140351,0.795792528,0.793667159,0.794642099,0.875371781,0.793667159,1.921965122,0,0,0,0,0,2.652271986,2.326210022,2.481793404,2.261182308,2.288296461,1.939999819,1.830133438,0,2.012564659,0, ,1,-0.01275531,-0.010255534
S0140,0.9,0.929824561,0.914529915,0.99489169,0.962571965,0.978882854,1.105435211,1.035218906,2.296444416,2.303497553,2.162650108,2.136192322,1.965087891,1.936870337,2.002593994,2.148171902,0,1.822556615,0,1.869527459,1.817479491,1.871064663,1.907645822,0, ,1,0.021197004,0.021294557
S0141,0.826923077,1,0.916666667,0.927806811,0.915522147,0.92085791,1.121998934,0.915522147,0,0,0,2.134589672,0,0,1.820720911,2.053996563,1.812711239,2.124834776,0,0,2.119410515,0,0,0, ,1,-0.094923142,-0.092423366
S0151,0.916666667,0.949152542,0.932773109,0.873761246,0.857636919,0.86562645,0.953194086,0.903581754,0,0,1.905118465,1.93439281,1.992299199,1.953263044,1.759996295,0,0,0,0,0,0,0,0,0, ,1,0.026008546,0.026767728
S0152,0.916666667,0.949152542,0.932773109,0.994446844,0.944650643,0.969324436,1.084851102,0.995256928,0,0,0,0,1.811839461,0,2.248262167,0,0,0,0,0,0,0,0,0, ,1,0.026008546,0.026767728
S0153,0.965517241,1,0.983050847,0.964493958,0.869215765,0.915212134,0.998940171,0.869215765,2.236071825,2.173750877,1.863078713,2.122665167,2.035828352,0,2.238744736,1.963173389,0,0,0,0,2.326110125,0,0,0, ,1,0.043671022,0.046170798
S0155,0.781818182,0.966101695,0.877192982,0.807946361,0.755754418,0.778196953,1.033419764,0.782272117,2.197030783,2.287990808,2.445780754,2.67598033,2.450150013,2.263666153,2.375516653,2.193416119,2.074435234,2.208775997,0,1.987147808,0,2.19876647,2.038615942,1,-0.116398776,0, ,-0.117896592
S0161,0.929824561,1,0.965217391,0.88947949,0.746585575,0.814814201,0.956610018,0.746585575,3.069816351,2.501137972,3.321237326,0,3.38145566,2.418226719,3.336964846,2.568876743,2.738382339,2.458724499,2.802950859,2.614299297,2.886804819,2.061987638,2.54493928,0, ,1,0.007978342,0.010478118
S0164,0.949152542,0.964912281,0.956896552,1.080221764,0.823916545,0.953223682,1.138090788,0.853877146,2.151154995,0,2.076059341,1.818693399,2.29902935,0,2.33488822,1.961627007,0,0,0,0,2.234289885,0,1.85523808,1,0.051586336,0, ,0.050126599
S0165,0.775862069,0.964912281,0.869565217,0.763443491,0.825445667,0.797544688,0.983993833,0.855461873,2.747528553,2.503748655,2.759828091,2.443035126,2.129679203,1.890280128,3.02274847,2.268727064,2.123731613,1.97013247,2.184856176,2.273538113,2.216941118,2.074027538,2.170889854,1,-0.121704137,0, ,-0.123163874
S0166,0.816666667,0.98245614,0.897435897,0.932272381,0.810750131,0.867460514,1.141558017,0.825227812,1.969455123,2.315756083,2.069308996,1.994185805,2.558600903,2.079205275,2.413681984,2.267846584,1.889248013,1.885664701,2.019081354,2.254025936,2.483573198,2.114616632,2.46114707,1,-0.090498132,0, ,-0.092519526
S0167,0.807017544,0.931034483,0.869565217,1.100165661,1.040053389,1.067705034,1.363248754,1.11709438,2.169389963,2.155903101,2.457416534,2.173783779,2.435776234,2.288380623,2.385445595,2.160908699,0,2.033605814,2.028181314,0,2.198601961,2.153224468,1.965565681,1,-0.072013448,0, ,-0.072388606
S0171,0.827586207,0.931034483,0.879310345,0.762170267,0.703369321,0.731040355,0.920955739,0.755470752,2.171589375,2.121375561,2.151750326,2.19987464,2.157328844,1.906030178,2.384058475,2.339725733,2.431315422,2.191105127,1.909243703,1.841765046,1.97470355,1.873637199,1.945682049,0, ,1,-0.051958914,-0.051819943
S0172,0.830508475,0.966666667,0.899159664,0.866130441,0.778669874,0.818721909,1.042891755,0.805520559,2.523072481,0,2.2225914,2.123094559,2.198096037,0,2.260558367,1.695824146,1.86545229,0,2.033946037,1.760689855,2.32269907,0,2.087107658,0, ,1,-0.070892213,-0.069533493
S0173,0.962962963,1,0.981651376,0.90069654,0.833361103,0.866084867,0.935338715,0.833361103,0,0,0,2.629024982,2.225590467,2.082281828,2.709379435,2.302770376,2.123458147,0,0,0,2.1860075,2.071857452,1.854917645,1,0.046199571,0, ,0.04361652
S0177,0.859649123,0.964912281,0.912280702,0.927889392,0.933940172,0.931089324,1.079381537,0.967901633,1.986835837,2.41258502,0,1.894936085,2.326282501,2.196107388,2.391832829,1.827950001,1.899878263,2.160095453,2.287233829,2.214338779,2.137910604,2.473196507,2.29872942,0, ,1,-0.040675485,-0.03937682
S0179,0.745762712,1,0.869565217,0.927631524,0.876393035,0.89893797,1.243869543,0.876393035,2.738025904,2.335068703,3.187175751,2.342733145,2.893062592,2.426784992,3.492811441,2.85251379,3.028227091,2.649453878,2.190232038,2.516351461,3.211858988,2.750333309,2.864062309,1,-0.17100068,0, ,-0.173583731
S0181,0.9,0.948275862,0.923728814,0.90350969,0.796360545,0.849443607,1.003899656,0.839798393,2.258506298,2.219696522,2.078683615,2.200031757,2.196815014,1.994866133,2.176178455,1.974137425,1.910402536,1.807761073,2.12411046,1.925939918,1.938409567,1.996765852,1.927808523,0, ,1,0.009879605,0.010608777
S0182,0.824561404,0.925925926,0.873873874,0.823490299,0.818259541,0.820794032,0.998701,0.883720304,2.173497915,2.10305357,2.055047035,2.252901077,1.968202829,2.136928797,1.984285116,2.297889948,0,2.277450562,2.071959496,1.894260645,2.231149197,2.022375107,2.330738544,0, ,1,-0.051850302,-0.051886206
S0184,0.98245614,0.983050847,0.982758621,0.956572688,0.911921404,0.933855368,0.973654343,0.927644187,2.569616795,2.326557875,2.817326307,2.260651588,2.676657677,2.36464572,2.546200275,2.259807825,1.915932298,1.901817799,2.065046072,1.857573032,2.548150301,2.194900036,1.936388135,0, ,1,0.071005954,0.072925532
S0187,0.949152542,0.983333333,0.966386555,0.92592037,0.896104649,0.910623609,0.975523247,0.911292864,2.729431868,2.101607561,2.835214853,2.251066923,2.253502369,1.991056204,2.901926756,2.253032207,2.244625807,1.876295686,0,0,0,0,2.004491091,1,0.041507814,0, ,0.039458337
S0192,0.833333333,0.966666667,0.9,1.007508236,1.05866107,1.034979202,1.209009884,1.095166624,2.234161377,2.18449688,2.00903964,1.946566939,2.057226896,1.845348239,1.887219787,1.967302084,2.083028793,0,1.960254192,0,2.496137619,0,0,0, ,1,-0.068067355,-0.066708635
S0193,0.771929825,0.867924528,0.818181818,0.839564036,0.75966777,0.798728167,1.087617046,0.875269387,2.152571201,2.083534002,2.297790051,0,0,0,2.157322407,2.136235237,0,2.252288342,1.897650957,0,0,0,0,1,-0.07257246,0, ,-0.070927189
S0194,0.833333333,1,0.915254237,1.220653356,1.107682924,1.15998405,1.464784028,1.107682924,2.648688078,2.838436127,2.671355963,2.161472082,2.749130964,2.187473536,2.735334158,2.344650507,0,0,3.014297009,3.613698006,2.782123327,0,2.897639275,0, ,1,-0.088512886,-0.08601311
S0196,0.833333333,0.944444444,0.885964912,1.091123817,1.023729052,1.057092797,1.309348581,1.083948409,2.102189541,1.937723994,1.967908978,2.21310854,0,0,2.116662025,1.961404204,1.965615392,0,0,0,2.071774483,0,1.749623895,0, ,1,-0.054437001,-0.053838985
S0197,0.931034483,0.965517241,0.948275862,0.814092593,0.794964286,0.804354545,0.874395748,0.823355868,2.559080124,1.873273969,0,0,2.520061016,2.376785755,2.857900858,2.703258991,2.1099298,0,2.057580233,1.993278742,2.349026918,2.108048439,2.161507845,1,0.033137292,0, ,0.031658187
S0199,0.826923077,0.865384615,0.846153846,0.756658028,0.687600154,0.721344343,0.915028313,0.794560178,2.283006191,2.298085213,2.153596163,2.244213581,2.446187258,1.90839839,2.464127302,2.029124498,0,0,2.182208538,2.070788383,2.558007956,2.001936674,2.288312674,1,-0.016189572,0, ,-0.014462987
S0200,0.836363636,0.909090909,0.872727273,0.782504893,0.762808143,0.772246169,0.935603677,0.839088957,2.039278746,1.986682057,0,0,0,0,0,1.862660646,0,0,0,0,0,0,0,1,-0.030661592,0, ,-0.030334239
S0201,0.896551724,0.964285714,0.929824561,0.830107749,0.75978448,0.794282687,0.925889412,0.787924646,2.532108784,2.516705513,2.499784708,2.338050842,2.529779434,2.495327473,2.415269852,2.224324465,1.98433888,2.039043665,2.612866879,2.556072474,2.614621639,2.530493259,2.316821814,0, ,1,-0.003388569,-0.002111353
S0203,0.965517241,0.963636364,0.96460177,0.896077263,0.911945501,0.903793012,0.928080023,0.946358538,1.873990178,1.959159255,1.944755912,0,2.219673872,1.989570618,1.910374641,0,0,0,0,0,0,0,2.240008354,1,0.068649115,0, ,0.067230225
S0207,0.816666667,0.881355932,0.848739496,0.846486263,0.803203756,0.8242022,1.036513791,0.911327339,2.136868,1.908585191,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.035184205,0, ,-0.033968933
S0208,0.964912281,0.966101695,0.965517241,1.100262684,1.013980241,1.056351084,1.140272236,1.049558495,2.498394251,0,0,0,2.365769148,2.153343916,2.336396217,2.081651926,2.081069946,1.986081958,2.015652418,2.048823118,1.921567678,1.827672124,2.008436203,1,0.066695323,0, ,0.065197507
S0209,0.894736842,0.877192982,0.885964912,0.831792336,0.779711535,0.806009761,0.929650258,0.88887115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.045163602,0, ,0.046512149
S0213,0.85,1,0.924369748,0.812810215,0.76931066,0.789478635,0.956247312,0.76931066,3.362165451,2.685525656,2.822781563,3.057097673,2.683919668,2.344502211,3.060709476,2.851668358,2.201512098,1.920837402,2.442317247,2.138064861,2.309448957,2.607471943,2.104711294,1,-0.066763392,0, ,-0.069346443
